employee_id,employee_name,classification,work_date,start_time,end_time,unpaid_break_minutes
E01,Alex Nguyen,level_1,2026-03-02,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-03,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-04,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-05,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-06,08:00,18:00,30
E01,Alex Nguyen,level_1,2026-03-09,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-10,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-11,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-12,08:00,18:00,30
E01,Alex Nguyen,level_1,2026-03-13,08:00,16:00,30
E02,Priya Singh,level_1,2026-03-02,08:00,16:00,30
E02,Priya Singh,level_1,2026-03-03,08:00,16:00,30
E02,Priya Singh,level_1,2026-03-04,08:00,18:00,30
E02,Priya Singh,level_1,2026-03-05,08:00,16:00,30
E02,Priya Singh,level_1,2026-03-06,08:00,16:00,30
E02,Priya Singh,level_1,2026-03-09,08:00,16:00,30
E02,Priya Singh,level_1,2026-03-10,08:00,18:00,30
E02,Priya Singh,level_1,2026-03-11,08:00,16:00,30
E02,Priya Singh,level_1,2026-03-12,08:00,16:00,30
E02,Priya Singh,level_1,2026-03-13,08:00,16:00,30
E03,Sam Lee,level_2,2026-03-02,08:00,18:00,30
E03,Sam Lee,level_2,2026-03-03,08:00,16:00,30
E03,Sam Lee,level_2,2026-03-04,08:00,16:00,30
E03,Sam Lee,level_2,2026-03-05,08:00,16:00,30
E03,Sam Lee,level_2,2026-03-06,08:00,16:00,30
E03,Sam Lee,level_2,2026-03-09,08:00,16:00,30
E03,Sam Lee,level_2,2026-03-10,08:00,16:00,30
E03,Sam Lee,level_2,2026-03-11,08:00,16:00,30
E03,Sam Lee,level_2,2026-03-12,08:00,16:00,30
E03,Sam Lee,level_2,2026-03-13,08:00,16:00,30
E04,Jo Park,level_1,2026-03-02,08:00,16:00,30
E04,Jo Park,level_1,2026-03-03,08:00,16:00,30
E04,Jo Park,level_1,2026-03-04,08:00,16:00,30
E04,Jo Park,level_1,2026-03-05,08:00,16:00,30
E04,Jo Park,level_1,2026-03-06,08:00,18:00,30
E04,Jo Park,level_1,2026-03-09,08:00,16:00,30
E04,Jo Park,level_1,2026-03-10,08:00,16:00,30
E04,Jo Park,level_1,2026-03-11,08:00,16:00,30
E04,Jo Park,level_1,2026-03-12,08:00,18:00,30
E04,Jo Park,level_1,2026-03-13,08:00,16:00,30
E04,Jo Park,level_1,2026-03-14,09:00,15:00,0
E05,Maria Silva,level_2,2026-03-02,08:00,16:00,30
E05,Maria Silva,level_2,2026-03-03,08:00,16:00,30
E05,Maria Silva,level_2,2026-03-04,08:00,18:00,30
E05,Maria Silva,level_2,2026-03-05,08:00,16:00,30
E05,Maria Silva,level_2,2026-03-06,08:00,16:00,30
E05,Maria Silva,level_2,2026-03-09,08:00,16:00,30
E05,Maria Silva,level_2,2026-03-10,08:00,18:00,30
E05,Maria Silva,level_2,2026-03-11,08:00,16:00,30
E05,Maria Silva,level_2,2026-03-12,08:00,16:00,30
E05,Maria Silva,level_2,2026-03-13,08:00,16:00,30
E06,Chris Taylor,level_1,2026-03-02,08:00,18:00,30
E06,Chris Taylor,level_1,2026-03-03,08:00,16:00,30
E06,Chris Taylor,level_1,2026-03-04,08:00,16:00,30
E06,Chris Taylor,level_1,2026-03-05,08:00,16:00,30
E06,Chris Taylor,level_1,2026-03-06,08:00,16:00,30
E06,Chris Taylor,level_1,2026-03-09,08:00,16:00,30
E06,Chris Taylor,level_1,2026-03-10,08:00,16:00,30
E06,Chris Taylor,level_1,2026-03-11,08:00,16:00,30
E06,Chris Taylor,level_1,2026-03-12,08:00,16:00,30
E06,Chris Taylor,level_1,2026-03-13,08:00,16:00,30
E07,Dana Kim,level_2,2026-03-02,08:00,16:00,30
E07,Dana Kim,level_2,2026-03-03,08:00,16:00,30
E07,Dana Kim,level_2,2026-03-04,08:00,16:00,30
E07,Dana Kim,level_2,2026-03-05,08:00,16:00,30
E07,Dana Kim,level_2,2026-03-06,08:00,18:00,30
E07,Dana Kim,level_2,2026-03-09,08:00,16:00,30
E07,Dana Kim,level_2,2026-03-10,08:00,16:00,30
E07,Dana Kim,level_2,2026-03-11,08:00,16:00,30
E07,Dana Kim,level_2,2026-03-12,08:00,18:00,30
E07,Dana Kim,level_2,2026-03-13,08:00,16:00,30
E08,Liam Chen,level_1,2026-03-02,08:00,16:00,30
E08,Liam Chen,level_1,2026-03-03,08:00,16:00,30
E08,Liam Chen,level_1,2026-03-04,08:00,18:00,30
E08,Liam Chen,level_1,2026-03-05,08:00,16:00,30
E08,Liam Chen,level_1,2026-03-06,08:00,16:00,30
E08,Liam Chen,level_1,2026-03-09,08:00,16:00,30
E08,Liam Chen,level_1,2026-03-10,08:00,18:00,30
E08,Liam Chen,level_1,2026-03-11,08:00,16:00,30
E08,Liam Chen,level_1,2026-03-12,08:00,16:00,30
E08,Liam Chen,level_1,2026-03-13,08:00,16:00,30
E08,Liam Chen,level_1,2026-03-14,09:00,15:00,0
E01,Alex Nguyen,level_1,2026-03-16,08:00,18:00,30
E01,Alex Nguyen,level_1,2026-03-17,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-18,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-19,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-20,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-23,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-24,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-25,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-26,08:00,16:00,30
E01,Alex Nguyen,level_1,2026-03-27,08:00,16:00,30
E02,Priya Singh,level_1,2026-03-16,08:00,16:00,30
